iter	Passed	Remaining
0	38	38107
1	70	35330
2	99	32910
3	126	31380
4	148	29499
5	171	28368
6	195	27672
7	219	27184
8	244	26885
9	265	26278
10	287	25817
11	310	25599
12	334	25365
13	360	25419
14	388	25537
15	416	25623
16	440	25474
17	465	25395
18	491	25369
19	516	25289
20	538	25082
21	567	25226
22	594	25254
23	621	25286
24	649	25329
25	678	25429
26	707	25508
27	735	25549
28	764	25591
29	789	25533
30	814	25457
31	844	25546
32	872	25553
33	897	25505
34	923	25463
35	947	25363
36	972	25298
37	999	25296
38	1024	25236
39	1051	25242
40	1079	25245
41	1106	25233
42	1136	25286
43	1162	25250
44	1186	25187
45	1210	25101
46	1234	25024
47	1252	24845
48	1273	24708
49	1294	24586
50	1317	24524
51	1338	24407
52	1362	24350
53	1386	24283
54	1410	24232
55	1430	24119
56	1451	24018
57	1474	23954
58	1497	23881
59	1524	23876
60	1549	23846
61	1572	23785
62	1595	23724
63	1619	23691
64	1641	23615
65	1667	23592
66	1690	23539
67	1712	23471
68	1735	23418
69	1759	23371
70	1781	23316
71	1802	23236
72	1825	23186
73	1850	23158
74	1873	23111
75	1895	23050
76	1915	22955
77	1937	22905
78	1957	22826
79	1978	22751
80	1998	22673
81	2016	22572
82	2039	22534
83	2061	22484
84	2082	22415
85	2099	22308
86	2122	22269
87	2142	22201
88	2160	22115
89	2183	22077
90	2204	22023
91	2227	21985
92	2248	21931
93	2269	21877
94	2293	21851
95	2314	21795
96	2336	21748
97	2355	21679
98	2377	21635
99	2395	21559
100	2420	21548
101	2443	21510
102	2466	21476
103	2484	21401
104	2503	21335
105	2527	21313
106	2541	21209
107	2565	21186
108	2585	21137
109	2601	21051
110	2620	20990
111	2644	20968
112	2667	20938
113	2689	20906
114	2712	20877
115	2735	20848
116	2755	20793
117	2778	20765
118	2799	20722
119	2824	20712
120	2845	20673
121	2866	20627
122	2889	20605
123	2914	20587
124	2937	20564
125	2960	20532
126	2979	20478
127	3003	20461
128	3029	20452
129	3053	20434
130	3077	20416
131	3097	20366
132	3121	20348
133	3133	20248
134	3155	20217
135	3180	20204
136	3203	20177
137	3228	20165
138	3248	20123
139	3270	20087
140	3293	20066
141	3314	20027
142	3339	20013
143	3355	19943
144	3373	19890
145	3400	19891
146	3423	19865
147	3447	19844
148	3468	19809
149	3492	19790
150	3516	19773
151	3533	19714
152	3557	19691
153	3577	19650
154	3599	19621
155	3625	19614
156	3644	19571
157	3656	19486
158	3676	19446
159	3700	19429
160	3720	19387
161	3743	19365
162	3767	19345
163	3789	19318
164	3812	19295
165	3834	19267
166	3858	19247
167	3877	19203
168	3898	19171
169	3921	19147
170	3944	19120
171	3964	19086
172	3977	19016
173	4002	19000
174	4021	18958
175	4032	18878
176	4053	18848
177	4075	18820
178	4099	18803
179	4119	18765
180	4144	18751
181	4168	18734
182	4193	18719
183	4212	18682
184	4223	18605
185	4243	18573
186	4263	18536
187	4284	18504
